"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.TQ.A7RO.01A",3.51024638071591e-08,0.0451704992990986,0.000788690254324226,0.0128883624549102,1.21779194461316e-07,5.8241398310308e-08,0.94115223286861
"TCGA.CS.6670.01A",3.00848369067713e-05,0.000337313356385257,0.0271419795259191,0.010874272118232,6.78915259497836e-07,1.0372436835137e-08,0.961615660874861
"TCGA.QH.A6X5.01A",3.82032346068126e-08,6.65434770892769e-06,0.0419390127255503,0.0152339159802506,3.08369540326046e-07,1.23349457974455e-05,0.942807735427918
"TCGA.HW.7493.01A",1.91039863939849e-08,0.0183739312708809,0.0144805907453549,0.0228523356680566,5.87365753490964e-09,3.40017528928478e-07,0.944292777320535
"TCGA.CS.6667.01A",3.11846268048913e-09,0.0612730905647885,5.18578478997947e-11,0.026416333070167,2.47609648159939e-06,7.39558326365857e-06,0.912300701514979
"TCGA.DU.6406.01A",2.78429659681089e-07,0.0882197067936782,6.2512948271145e-10,0.0405686107983839,2.85842087808269e-07,6.41228475418041e-09,0.871211111098776
"TCGA.DU.A7TA.01A",3.98606006184041e-10,0.0363038537660978,1.11540565509785e-06,0.0641477021013201,1.38786176551143e-08,1.75719224190463e-08,0.899547296877781
"TCGA.QH.A6X4.01A",2.74963211853952e-09,0.0188157231615307,7.98275351918298e-09,0.0187093598896196,1.31455168058126e-08,2.48640704529127e-09,0.96247489058454
"TCGA.TQ.A7RR.01A",1.27784600445493e-05,0.00303501353781842,0.00828233317011286,0.0488225356802173,1.89708958013068e-05,3.65105407411974e-07,0.939828003150598
"TCGA.HT.8104.01A",9.06452897479151e-09,0.0674249364667464,2.13908217280502e-08,0.0336016586868879,1.40958679269161e-08,0.000128434911992023,0.898844925383155
"TCGA.HT.A74K.01A",1.96823354386884e-08,0.108933072403149,2.15413423484105e-06,0.0498162691945694,3.45423019430701e-09,4.66633028308111e-09,0.841248476465151
"TCGA.DB.A64X.01A",3.74167305948873e-09,0.0353083474196669,0.000663960502610866,0.0194962222180764,8.7730552513475e-09,1.87220755532967e-09,0.94453145547271
"TCGA.HT.8107.01A",5.45829287208765e-09,0.0252433665012744,2.91633095896861e-07,0.00953871133004838,1.87516047916151e-09,1.3357947826946e-08,0.96521760984418
"TCGA.FG.A710.01A",2.31908338988214e-05,0.0185455143384513,0.00483645048526192,0.0799669724543279,3.82466812821386e-08,5.01451963370808e-06,0.896622819121745
"TCGA.QH.A6CX.01A",9.19666110910014e-06,0.0224534373697317,1.85451558810972e-09,0.0358809787719183,5.86612539842747e-05,1.87919119211475e-08,0.941597705296829
"TCGA.CS.6666.01A",2.74183813489861e-08,0.112164367037892,1.59551619786404e-10,0.0252561720257785,2.9287677100918e-07,1.59132404139075e-08,0.862579124568385
"TCGA.TM.A7CA.01A",3.34191757137467e-09,0.00629055443072952,0.008084235252816,0.0168838678368608,7.91195454971124e-06,8.15672038435817e-09,0.968733419026406
"TCGA.HW.7486.01A",2.65069078432636e-08,0.0157743278077724,0.00539990980236145,0.030402736447953,2.34292918110751e-09,3.79648654134645e-09,0.94842299329559
"TCGA.QH.A6X8.01A",3.17056084478615e-09,0.0301858712199812,1.05137910309429e-05,0.0270422148508534,9.0113533674566e-08,5.04829854239237e-09,0.942761301805741
"TCGA.DU.A76K.01A",1.18470892625214e-07,0.0415580747756225,4.89340065246671e-05,0.00539357034456935,1.64714452840378e-09,7.36293499664721e-09,0.952999293392311
"TCGA.DB.A4XD.01A",1.88368387691725e-05,1.424548093266e-08,0.0231414410628778,0.0275171336024341,1.41110630229776e-08,4.34194701895182e-06,0.949318218192356
"TCGA.DH.A669.01A",2.62183176695126e-10,0.0224548871127303,2.92513999619978e-09,0.0565478325460431,2.0875875735137e-08,2.29945956881267e-06,0.920994956818459
"TCGA.WY.A858.01A",9.38744012345246e-09,0.0560432281868347,1.44449207699945e-08,0.0600539423503278,1.42801065697901e-08,1.32126478278863e-08,0.883902778137722
"TCGA.DU.7294.01A",1.26485362007252e-08,0.0120745267577222,0.00968156740877305,0.0151117362511553,5.29598261926089e-10,3.19769358864067e-05,0.963100179468329
"TCGA.TM.A7C3.01A",1.1359662579801e-07,0.0203178622970431,0.0334653713020127,0.0138268221711645,5.50080422625154e-08,3.30160402356982e-08,0.932389742609071
"TCGA.WY.A85E.01A",2.68669733854674e-09,0.0182945407043342,0.00218066624302026,0.0105155426715677,5.52786404169376e-06,9.70961248581933e-09,0.969003710120726
"TCGA.FG.A6J1.01A",2.55198753976371e-08,0.101164321344231,3.97714191897637e-06,0.0330208072166523,3.51662567726773e-08,1.20963904554375e-09,0.865810832401427
"TCGA.QH.A65Z.01A",8.87758813161551e-06,0.0155745439000532,0.014289570589631,0.00784690552950421,4.16566960826661e-06,7.08336199929077e-10,0.962275936014735
"TCGA.VM.A8CD.01A",1.13564717309216e-05,0.0371059135023702,0.000188922361180584,0.0819708689684344,6.05165033491296e-07,3.73229172046684e-08,0.880722296208333
"TCGA.HT.8019.01A",3.13882614820377e-10,0.0254662178006858,9.11569658982313e-11,0.00671457343669381,1.61558127816877e-08,2.68325968133252e-07,0.9678189238758
"TCGA.QH.A6CV.01A",4.61559472524714e-07,0.0517490785184785,1.63853331593958e-09,0.0907641069647662,1.70219916856279e-08,1.95668472000336e-08,0.857486314729911
"TCGA.FG.A6IZ.01A",1.47342746200115e-07,0.0431252674682213,2.07066056469441e-08,0.0342699937468695,1.87172708910293e-07,1.50275946276294e-05,0.922589355968221
"TCGA.P5.A5F1.01A",4.21080111852359e-06,0.0135389951244138,0.0106808082369996,0.0471347107132811,4.08054870285782e-09,9.14045566408749e-09,0.928641261903183
"TCGA.P5.A72U.01A",2.61749353012311e-08,0.157398381129509,6.70155325863479e-09,0.03508045316898,2.62672460855221e-07,1.64125125067397e-07,0.807520706027437
"TCGA.CS.4943.01A",5.81749390120377e-08,0.0121528571663088,2.08703742325292e-09,0.0511373752648228,1.55714727584372e-09,9.63292909871212e-07,0.936708742456835
"TCGA.P5.A5EW.01A",1.94219486611877e-10,2.11219131500161e-06,0.0304526167202511,0.0357166508387514,4.54641060901089e-09,3.0053000585246e-08,0.933828585456052
"TCGA.E1.5322.01A",5.38835828297153e-05,2.87185610069106e-09,6.12695497132265e-08,0.130450789569252,4.44960406831666e-07,7.48555309971063e-08,0.869494742890575
"TCGA.HT.A4DS.01A",1.03500766077154e-08,2.10697061317696e-06,3.45830982314701e-08,0.162766943096591,0.000655320092209872,2.98347841345951e-09,0.836575581923932
"TCGA.FG.7634.01A",6.03767600861052e-10,0.0756296258652695,2.42774051272675e-08,0.056007217662902,1.02547059385537e-05,1.08330955379747e-08,0.868352866051622
"TCGA.DU.7306.01A",3.83967218920367e-08,0.0238127870236997,1.87374588648112e-06,0.0428275574505159,7.26825602610651e-10,1.73954367184139e-09,0.933357740916807
"TCGA.FG.7636.01A",3.71709016336147e-07,4.30982237912979e-07,0.0214972079030858,0.0282360195321007,2.25306484613167e-08,2.93661368644843e-09,0.950265944406297
"TCGA.S9.A7J3.01A",5.1131355639701e-10,0.0399887107276511,1.96964016356775e-06,0.0198683991691203,1.11358072806526e-08,7.87056521753195e-09,0.940140900945379
"TCGA.DU.A6S7.01A",3.03370275007832e-08,0.0131162570124288,0.000117783079216959,0.0592659206242486,8.02624245872872e-08,8.18668204696449e-09,0.927499920497972
"TCGA.DU.6396.01A",2.07751122649398e-07,2.60005731199755e-06,2.90847332644194e-07,0.476196036663834,1.91381771770339e-07,0.00123588976624247,0.522564783532385
"TCGA.S9.A7QW.01A",1.27719996034328e-07,8.31939826816013e-07,0.0391783489370036,0.00932468528265566,9.50810882938983e-08,9.50921176516755e-09,0.951495901530218
"TCGA.FG.7643.01A",8.5226756285315e-10,0.0339062942822396,2.40443417279291e-08,0.0146135510250714,5.43993493203632e-06,3.77413684678319e-07,0.951474312447463
"TCGA.S9.A7R4.01A",2.4141025382287e-08,0.0776415304469649,3.41245555211025e-07,0.0277937939597672,6.30848948700213e-10,7.14779463745175e-05,0.894492831629464
"TCGA.DU.A6S8.01A",2.1690700492262e-09,0.0274742185995462,8.91681290605438e-10,0.0110528294186824,4.05031030468593e-09,6.93586281180705e-09,0.961472937934847
"TCGA.HT.7601.01A",4.92376897596491e-06,0.000239722897093641,2.6370304627519e-08,0.347536915124415,8.10107571281691e-08,1.29564313254479e-08,0.652218317872023
"TCGA.HT.7854.01A",3.05286336197511e-09,0.0345129085650607,4.77273460976107e-11,0.0454318032040735,6.5278197968572e-08,1.7395426914533e-05,0.920037824425163
"TCGA.QH.A6X3.01A",2.87920035122354e-05,0.00704311207026414,2.98052107605537e-08,0.0293892505314448,0.000118416008278878,6.7573880499423e-09,0.963420392823901
"TCGA.P5.A5F0.01A",1.32716123676089e-07,0.0215024139027025,6.62718911224276e-05,0.00531566286855639,8.7750509699519e-08,1.13081487900714e-06,0.973114300056106
"TCGA.CS.5395.01A",2.14064454422564e-05,0.0147142166039864,0.0146213192000249,0.0185982743445193,4.84743303230385e-09,2.70748142004068e-08,0.95204475148378
"TCGA.DU.6402.01A",6.58855036334062e-09,0.0539185526148234,9.5747213545931e-08,0.13435103930796,8.98227871422158e-07,8.38716772701992e-06,0.811721020345854
"TCGA.VM.A8CE.01A",2.74297890847099e-07,1.60460459727201e-05,0.0428753943678814,0.0173036956078607,2.93664326596097e-08,1.80736461677643e-08,0.939804542240315
"TCGA.HT.7467.01A",2.02408077407021e-07,0.0322849353837321,5.12767312461663e-06,0.0121095726764616,4.82833081144927e-11,3.2946725183533e-09,0.955600158515648
"TCGA.DB.A4XC.01A",6.27385860246553e-08,1.79803804593495e-06,0.0303404890258729,0.0431652654253725,9.2964347159714e-06,1.60094728417935e-08,0.926483072327934
"TCGA.RY.A83X.01A",4.09683825593577e-09,0.0340064731711428,6.85615134635148e-09,0.0159586837538978,1.38440783547067e-09,2.51767757316105e-07,0.950034578969805
"TCGA.HT.A5R9.01A",3.64011254408657e-08,0.08389506561878,0.017306765037589,0.00487304483871271,9.18127815625388e-10,0.0060138200099669,0.887911267175698
"TCGA.S9.A6WD.01A",5.08984791962239e-10,0.0202755301278595,0.00301937088573676,0.0140395233735436,2.89077921158296e-06,7.0522536612202e-09,0.96266267727241
"TCGA.F6.A8O4.01A",4.42434098027138e-09,0.0138673545911953,0.00820818177330285,0.0136888357733577,2.37447496430427e-08,6.84230578138066e-09,0.964235592850748
"TCGA.TQ.A7RV.01A",8.07563602796835e-09,0.0309845813084748,6.80071472809437e-08,0.0205925834360754,1.0282546919688e-07,3.72346751575656e-08,0.948422619112522
"TCGA.FG.7637.01A",1.11409980627278e-09,0.0461242329576738,0.0212150442146321,0.0165768796758871,2.927500927728e-05,1.53751517044343e-05,0.916039191876726
"TCGA.FG.6689.01A",1.49841274384262e-08,0.00476938877237651,0.00678399944844912,0.0438196964863468,3.77677662349965e-09,1.34111829016241e-07,0.944626762420095
"TCGA.E1.A7YO.01A",5.276439166239e-09,0.0385139784875558,0.00781825874199555,0.0106276646633842,4.89636234745075e-06,1.00365448908525e-08,0.943035186431733
"TCGA.FG.7638.01B",4.37896336172713e-06,0.012346907155177,0.0155854519428844,0.0113668966147012,1.78130455073865e-05,3.54071472706109e-08,0.960678516871221
"TCGA.S9.A7QZ.01A",7.02409659168903e-09,0.0557844798319095,3.02235680644469e-09,0.00735944965180806,4.45714400451027e-08,1.02885305146805e-10,0.936856015795504
"TCGA.P5.A5F2.01A",5.16517553023836e-09,0.0154785438151597,3.63756709419384e-05,0.0139152920261608,2.32105120946555e-09,1.87735086532365e-09,0.97056977912416
"TCGA.R8.A6YH.01A",2.92113361470732e-08,0.0137028352967634,0.000364433021436967,0.0332397050822674,7.95847004832687e-09,1.61575887104558e-07,0.952692827853839
"TCGA.E1.A7YS.01A",7.37652845011072e-07,0.023157807695397,4.27744940752999e-11,0.00902482141523783,2.14068800896309e-08,8.4028354160387e-09,0.96781660338403
"TCGA.HT.7880.01A",3.68247060067874e-09,0.0288924407892543,0.00356541192373458,0.0127984214595511,1.59943864396538e-07,9.99667956871703e-06,0.954733565521556
"TCGA.DU.5852.01A",4.30483360149052e-08,0.0792676246988371,8.32992968413801e-10,0.0515474473549405,1.47362453502362e-08,2.77014128807841e-08,0.869184841627235
"TCGA.E1.A7Z4.01A",1.21596113749462e-07,0.00746532883128137,0.00637424156624679,0.0479037896561581,8.76108279687569e-09,1.97750889622873e-07,0.938256311838228
"TCGA.DU.7298.01A",5.84522512715025e-06,0.0122225862041635,2.13128624966972e-09,0.041351358673529,4.37853110451002e-05,8.78956288502618e-07,0.946375543498561
"TCGA.HT.7478.01A",2.69081963204102e-05,4.60961504603731e-06,0.000302972659013077,0.126213645634843,1.50186155540518e-07,1.29535552828947e-06,0.873450418353093
"TCGA.DU.A5TU.01A",1.0003069070363e-07,7.47507351718847e-07,5.29595636077802e-09,0.153871538124331,2.12156462961377e-07,2.58764246520285e-05,0.846101520460556
"TCGA.DU.6399.01A",7.57941753642188e-09,0.00090475376138513,0.0334403229142844,0.0540169376106786,1.71977702085699e-06,6.92125556552903e-09,0.911636251435958
"TCGA.RY.A83Y.01A",9.18012300559848e-07,0.047427670337081,1.58032216326291e-08,0.0383701591635071,3.35854199500795e-07,1.89582433746682e-08,0.914200881871447
"TCGA.DU.7300.01A",5.23463940346533e-09,0.0538873679839939,0.00303855891575437,0.0236407674975624,2.73086768864929e-10,2.41844891456325e-08,0.919433275910474
"TCGA.S9.A7IX.01A",8.35138481783813e-05,0.044858589299371,1.44783089636153e-09,0.0431466040135208,8.54137318243957e-09,1.88113833336777e-08,0.911911264038342
"TCGA.HT.8558.01A",7.98632106888791e-09,0.0286610431210382,1.34223716425594e-07,0.00841465251887798,3.00955816669942e-09,4.87932068691463e-08,0.962924110347281
"TCGA.S9.A7IY.01A",2.37311804856419e-09,0.0155488426358057,0.0169209783088062,0.0275801063776378,1.42882125809273e-06,4.2762944737523e-08,0.939948598720429
"TCGA.DB.A64W.01A",5.0902084844198e-06,0.0376400314024441,1.27690913161143e-07,0.0053478713539662,6.80155623524369e-09,2.55968575784459e-10,0.957006872286667
"TCGA.S9.A7IZ.01A",1.52638255422962e-10,0.0304166058496035,5.48352790127382e-08,0.027919606143999,9.71311598321851e-09,1.17046452850739e-06,0.941662552840836
"TCGA.DU.6410.01A",4.89688411117777e-08,0.0308171549362792,6.59361117751592e-10,0.00463055418010091,1.87781662833972e-08,1.72214061838687e-09,0.964552220755111
"TCGA.R8.A6MO.01A",2.1797897978173e-05,0.050053790233536,4.0289592781078e-10,0.0302933538784999,2.19985946015975e-08,6.93219435174315e-11,0.919631035519173
"TCGA.P5.A780.01A",4.13418417903958e-09,0.0229554042102047,9.82685994568207e-10,0.0372143545035704,4.56477960253694e-05,9.50937483962423e-09,0.939784578863955
"TCGA.QH.A6XC.01A",4.74898095940097e-08,0.0338552104491182,4.98674564721636e-10,0.0345693085141191,5.09637163169757e-08,2.46106763049942e-09,0.931575379623495
"TCGA.E1.A7YD.01A",6.87420089504641e-10,0.0476546615176374,1.35507885251165e-05,0.0277342468105232,1.36898247683675e-05,1.93131758528043e-09,0.924583848439808
"TCGA.E1.A7YI.01A",1.01436067133651e-08,0.0536023346570884,3.72278958565534e-09,0.0334469703244614,7.6054354154703e-09,1.31571491953771e-09,0.912950672230904
"TCGA.DU.8158.01A",2.29880441423376e-08,0.0129982369023607,6.12263562752084e-05,0.0898811724594329,6.96425676565184e-08,6.38490916050721e-09,0.89705926526641
"TCGA.S9.A6WN.01A",1.45861790062609e-08,0.0607586311978831,1.77566948337373e-06,0.0684337128877268,2.31011145533686e-07,4.07086996045191e-08,0.870805593938883
"TCGA.HT.7855.01A",1.581196308866e-07,0.0331216573068971,4.01043281292804e-08,0.0280627861353342,2.30395502835906e-07,1.14930164140964e-06,0.938813978636665
"TCGA.HT.8111.01A",4.21909928184975e-09,0.00212359210672161,0.00443577438850262,0.0540288325156504,4.56735211095591e-06,9.8257038231157e-09,0.939407219592211
"TCGA.WY.A85C.01A",2.09077312782686e-06,0.0370169511758936,2.77402648818125e-07,0.0267433816176369,9.24854343315963e-10,6.24569539917671e-09,0.936237291860143
"TCGA.CS.6290.01A",1.28315369375636e-06,2.14941088418007e-08,0.0013742656806436,0.120391809996917,5.986172127729e-08,1.38802263737981e-08,0.87823254593269
"TCGA.HT.8114.01A",5.43057803669405e-10,0.0201640874711207,0.00433191839098067,0.114192056309585,7.07573810937031e-06,3.80256505635564e-09,0.861304857744582
"TCGA.S9.A6TU.01A",5.59527429295475e-05,0.0275868463912906,6.43880897481282e-08,0.0488751032602189,1.81530037471315e-07,1.95462284172031e-06,0.923479897064592
"TCGA.HT.7616.01A",2.16094614248891e-08,0.0743286049068977,3.28281130810345e-05,0.14539255035287,1.68411776405016e-05,1.68576716945098e-08,0.780229136982378
"TCGA.HT.8010.01A",1.47725854208528e-09,0.0116733396591255,0.0186925872831564,0.0129230209806805,3.26689706631749e-08,2.95884665501407e-08,0.956710988342342
"TCGA.DH.A7UU.01A",3.05463575649375e-10,0.0317332434879105,3.01593709489022e-06,0.024124991314699,3.1450675470182e-09,1.87644131904995e-06,0.944136869368446
"TCGA.E1.A7Z3.01A",9.48434226235808e-08,0.0521503711091612,4.69467771309958e-05,0.026784665895178,2.22121540583322e-09,4.34803256945289e-10,0.921017918719089
"TCGA.E1.A7YM.01A",8.44837598059748e-10,0.0287521280443995,8.66905557680825e-10,0.0123382716442663,5.12832042318994e-10,1.89091527539799e-06,0.958907707171484
"TCGA.S9.A6WG.01A",0.002746171362287,0.496950543995214,0.109514127957549,0.0253512298307585,6.59894863793666e-09,0.0391555595661351,0.326282360689108
"TCGA.HW.8319.01A",4.56119625723582e-09,2.31215837222022e-07,0.0241122486142604,0.0204512172568163,8.42835099264179e-09,1.23372713471871e-09,0.955436288689812
"TCGA.TM.A84R.01A",1.3832870484032e-08,0.0459520885738821,0.00765542084804347,0.00734247229142124,1.68103716215272e-07,0.000547357556520955,0.938502478793546
"TCGA.DH.A66D.01A",3.21179330929962e-09,0.000531431698753957,0.0141117604548385,0.0554471940531666,2.01113906654415e-07,1.52995985718098e-07,0.929909256471555
"TCGA.S9.A6WP.01A",3.41532275611278e-08,0.0419014167643469,2.81850559615449e-09,0.042957046568097,2.68636861602524e-09,1.17192391648584e-09,0.91514149583753
"TCGA.DU.A7TB.01A",1.26268505004704e-06,0.026905554434301,8.12617027188935e-07,0.0121924787377511,4.43590033530562e-08,3.50609479648726e-08,0.960899812105919
"TCGA.DB.A64V.01A",1.11973841853178e-08,0.022339915368677,2.56431218931667e-07,0.0570357949008556,2.21631161787419e-08,1.0431488140319e-07,0.920623895623867
"TCGA.HT.8113.01A",1.54344081009935e-08,0.0289742812625484,8.4227943060599e-05,0.00838771623417798,3.72837202660662e-08,4.78880847852679e-08,0.962553673954
"TCGA.HT.7604.01A",7.12292603441383e-07,0.00832973132698186,0.00550618525024846,0.032938121417807,4.42632281487903e-08,4.93043026816347e-07,0.953224712406104
"TCGA.FG.A711.01A",1.6944341376097e-06,0.00611869278620191,0.0133622722318575,0.019401420304631,1.07607761360042e-09,1.24694525495631e-08,0.961115906697642
"TCGA.FG.A60L.01A",1.07813713624954e-05,0.0138238879834089,1.67523554215827e-09,0.121411557347938,2.00077394403575e-07,1.25474410705353e-09,0.864753570289916
"TCGA.E1.5307.01A",2.31650742590774e-08,0.00884205945403492,1.4455692571465e-08,0.0338705255139045,3.03791087464034e-10,5.21125005278619e-08,0.957287324995002
"TCGA.DB.5279.01A",4.30911555692011e-09,0.0156925323706036,0.0182574152608175,0.00797939988647932,0.00175525741725765,4.13844032244854e-08,0.956315349371323
"TCGA.DU.7018.01A",6.84995797346801e-09,0.0506682870033098,4.06709028010824e-05,0.00734140614565609,2.14859668686205e-09,1.65369176431969e-08,0.941949610412761
"TCGA.S9.A6TZ.01A",2.83657786713592e-08,0.0398876271108071,1.67326488616793e-07,0.0326610505551748,4.03186524750405e-09,2.42404359386541e-09,0.927451120185842
"TCGA.HT.A61C.01A",1.35563210413351e-08,0.123231839649018,0.0153131768105419,0.0767062542588516,3.71523455250699e-05,6.97944950844748e-09,0.784711556400293
"TCGA.HT.A5R7.01A",1.5342196650225e-09,0.014345227186862,0.00465676086620336,0.0237312798218427,9.47110187430943e-08,6.28099324789918e-09,0.95726662959886
"TCGA.HW.7495.01A",3.82233097720635e-06,9.63273958628679e-08,0.0444141301118322,0.01144433424199,8.04397510762947e-08,4.0925358110408e-11,0.944137536507128
"TCGA.HT.7677.01A",2.72011284222064e-07,0.0190521580896385,0.0156103453534519,0.0113991452774557,6.67625937857502e-09,1.0706051052134e-07,0.9539379655314
"TCGA.F6.A8O3.01A",8.16613145169831e-10,0.0216716979282043,0.00570777298594423,0.00850189946667021,2.3018708918747e-05,2.21097843888191e-06,0.964093399115211
"TCGA.P5.A730.01A",6.08183198467463e-09,0.0483747446805671,1.80010945895483e-07,0.0137308654613818,1.30351002578456e-09,8.59322771849602e-10,0.93789420160244
"TCGA.DU.A5TY.01A",7.69589344380086e-06,0.00189228192754115,3.02365963400616e-05,0.198668142814161,7.2047368101451e-09,5.4841651698393e-10,0.79940163501536
"TCGA.HT.8015.01B",3.48556314758503e-10,0.0207603341019811,1.09956856409299e-05,0.02923564230288,7.6517036049946e-07,7.76952526838767e-09,0.949992254621056
